,Year,MD
0,1988,1.0
1,1989,1.8851918182675085
2,1990,2.6654611437470668
3,1991,3.349937026734618
4,1992,3.947046171569679
5,1993,4.464563489380351
6,1994,4.909659161350813
7,1995,5.288942446548954
8,1996,5.608502452981029
