,Year,Average Debt
0,1988,18767680905.74737
1,1989,49613161036.414566
2,1990,69070228218.39081
3,1991,31261676200.317966
4,1992,28770555734.375
5,1993,51670742636.10315
6,1994,82346630830.72101
7,1995,30740060343.839542
8,1996,54634114657.09729
